1760825269.546068 server started (89157): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760825269.546122 on Darwin 25.0.0 Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:26 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T6041
1760825269.546132 using libevent 2.1.12-stable select
1760825269.546144 using utf8proc 2.11.0
1760825269.546151 using ncurses 6.5 20240427
1760825269.546267 input_key_build: 0x10e003 (PasteStart) is \033[200~
1760825269.546277 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1760825269.546319 input_key_build: 0x10e195 (F1) is \033OP
1760825269.546326 input_key_build: 0x10e196 (F2) is \033OQ
1760825269.546332 input_key_build: 0x10e197 (F3) is \033OR
1760825269.546337 input_key_build: 0x10e198 (F4) is \033OS
1760825269.546343 input_key_build: 0x10e199 (F5) is \033[15~
1760825269.546348 input_key_build: 0x10e19a (F6) is \033[17~
1760825269.546353 input_key_build: 0x10e19b (F7) is \033[18~
1760825269.546358 input_key_build: 0x10e19c (F8) is \033[19~
1760825269.546364 input_key_build: 0x10e19d (F9) is \033[20~
1760825269.546369 input_key_build: 0x10e19e (F10) is \033[21~
1760825269.546374 input_key_build: 0x10e19f (F11) is \033[23~
1760825269.546380 input_key_build: 0x10e1a0 (F12) is \033[24~
1760825269.546388 input_key_build: 0x10e1a1 (IC) is \033[2~
1760825269.546394 input_key_build: 0x10e1a2 (DC) is \033[3~
1760825269.546400 input_key_build: 0x10e1a3 (Home) is \033[1~
1760825269.546406 input_key_build: 0x10e1a4 (End) is \033[4~
1760825269.546413 input_key_build: 0x10e1a5 (NPage) is \033[6~
1760825269.546418 input_key_build: 0x10e1a6 (PPage) is \033[5~
1760825269.546423 input_key_build: 0x10e1a7 (BTab) is \033[Z
1760825269.546429 input_key_build: 0x10e1a8 (Up) is \033[A
1760825269.546434 input_key_build: 0x10e1a9 (Down) is \033[B
1760825269.546439 input_key_build: 0x10e1aa (Left) is \033[D
1760825269.546445 input_key_build: 0x10e1ab (Right) is \033[C
1760825269.546450 input_key_build: 0x10e1ac (KP/) is /
1760825269.546455 input_key_build: 0x10e1ad (KP*) is *
1760825269.546459 input_key_build: 0x10e1ae (KP-) is -
1760825269.546463 input_key_build: 0x10e1af (KP7) is 7
1760825269.546468 input_key_build: 0x10e1b0 (KP8) is 8
1760825269.546472 input_key_build: 0x10e1b1 (KP9) is 9
1760825269.546476 input_key_build: 0x10e1b2 (KP+) is +
1760825269.546481 input_key_build: 0x10e1b3 (KP4) is 4
1760825269.546485 input_key_build: 0x10e1b4 (KP5) is 5
1760825269.546489 input_key_build: 0x10e1b5 (KP6) is 6
1760825269.546493 input_key_build: 0x10e1b6 (KP1) is 1
1760825269.546498 input_key_build: 0x10e1b7 (KP2) is 2
1760825269.546504 input_key_build: 0x10e1b8 (KP3) is 3
1760825269.546509 input_key_build: 0x10e1b9 (KPEnter) is \n
1760825269.546513 input_key_build: 0x10e1ba (KP0) is 0
1760825269.546518 input_key_build: 0x10e1bb (KP.) is .
1760825269.546523 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
